,Unnamed: 0,firm,kiscode,kiscode_tf,business
17,17,(주)광주일보사,HG4720,1801704720,1168800109
18,18,신성자동차(주),147009,147009,4108157276
19,19,효성프리미어모터스(주),HT9658,1803209658,1728600556
20,20,더프리미엄효성(주),239973,239973,4088155391
21,21,갤럭시아일렉트로닉스(주),479687,479687,2118787777
22,22,효성토요타(주),F00309,16000309,1148676287
23,23,효성트랜스월드(주),178691,178691,1108137083
24,24,효성에프엠에스(주),490595,490595,2118798181
25,25,갤럭시아디바이스(주),057142,57142,1248135065
26,26,(주)신동진,040724,40724,1148143438
27,27,평창풍력발전(주),F22392,16022392,2258121355
28,28,동륭실업(주),072150,72150,2088100210
29,29,트리니티에셋매니지먼트(주),901091,901091,1208100813
30,30,(주)세빛섬,C81224,13081224,1078712870
31,31,공덕경우개발(주),F91363,16091363,2148866268
32,32,효성투자개발(주),320978,320978,1058164098
33,33,공덕개발(주),205834,205834,1058155702
34,34,(주)에이에스씨,396714,396714,2208180873
35,35,엔에이치씨엠에스(주),H34890,18034890,2148878385
36,36,(주)에이티엠플러스,166844,166844,1078180094
37,37,(주)아승오토모티브그룹,J14956,21014956,2208860008
38,38,그랜드제오차(유),J18342,21018342,1788101373
39,39,그랜드제육차(유),J76247,21076247,4108710026
40,40,그랜드제칠차(유),J76084,21076084,2028701251
41,41,태안솔라팜(주),C12072,13012072,3168110760
42,42,프로베스트킹덤제일차(유),M17662,24017662,5318601545
43,43,(주)에브리쇼,C06918,13006918,2118808459
44,44,갤럭시아마이크로페이먼트(주),HF9085,1801609085,1478700052
45,45,그린파워제오차(유),H81893,18081893,1078768660
46,46,그린파워제팔차(유),J00984,21000984,1078788953
47,47,베스트레드(유),J07848,21007848,1078791424
48,48,베스트블루(유),J07521,21007521,1078791521
49,49,베스트퍼플(유),J07851,21007851,1078791462
50,50,행복두드리미(주),J87526,21087526,1078800288
51,51,(주)가비,CD0270,1301400270,2818600016
0,0,(주)세아베스틸,381519,381519,1138106798
1,1,(주)세아제강,JG4190,2101704190,5688601173
2,2,(주)세아특수강,371904,371904,5068104497
3,3,(주)세아홀딩스,171342,171342,1048163174
4,4,(주)세아제강지주,370118,370118,1068160926
5,5,(주)세아창원특수강,082592,82592,6098129083
6,6,(주)세아에프에스,370835,370835,1258101272
7,7,(주)세아네트웍스,690066,690066,1208110951
8,8,(주)세아에삽,386324,386324,6098124701
9,9,(주)세아항공방산소재,204627,204627,6098151440
10,10,(주)세아엔지니어링,L26948,23026948,3148653870
11,11,(주)세아엘앤에스,710903,710903,3038101756
12,12,(주)세아메탈,024495,24495,6088119001
13,13,(주)세아씨엠,IR6448,1902906448,1438800741
14,14,(주)세아엠앤에스,391198,391198,1378173779
15,15,(주)우진정공,372675,372675,1258129789
16,16,동아스틸(주),034552,34552,6068140755
17,17,(주)아이언그레이,I81743,19081743,1048644788
18,18,(주)에이팩인베스터스,386847,386847,1138100945
19,19,(주)에이치피피,L69974,23069974,1058801054
20,20,(주)세아스틸인터내셔날,JB9998,2101209998,3298600899
21,21,(주)에스에스아이케이,LE9890,2301509890,7038800806
22,22,(주)씨티씨,JS3033,2103103033,1778701561
23,23,(주)브이엔티지,LH3214,2301803214,4038601798
24,24,(주)에이앤에이인베스트,LJ0720,2302100720,4318602002
25,25,(주)윈트러스트,JS7303,2103107303,7268701422
26,26,(주)이사야에이치피피,JO9675,2102609675,8478701428
27,27,(주)이앤비원,C38776,13038776,1238610275
28,28,(주)피앤아이,088723,88723,2098124651
29,29,(주)빈티지랩,F11069,16011069,2118804147
30,30,(주)디지투스,IS6850,1903106850,8038700695
0,0,S-OIL(주),350940,350940,1168136743
1,1,에쓰오일토탈윤활유(주),245049,245049,1148628752
2,2,동북화학(주),196842,196842,6108148402
0,0,(주)현대그린푸드,620114,620114,2118108241
1,1,(주)현대백화점,086512,86512,2118721455
2,2,(주)한섬,088102,88102,1208126337
3,3,(주)현대홈쇼핑,170258,170258,2118676540
4,4,(주)현대리바트,115873,115873,1358132239
5,5,(주)현대퓨처넷,191600,191600,1128131178
6,6,(주)에버다임,010726,10726,1078145758
7,7,(주)현대바이오랜드,190608,190608,3128124525
8,8,(주)현대캐터링시스템,I67181,19067181,1018674546
9,9,(주)현대엘앤씨,L91537,23091537,1048655679
10,10,한무쇼핑(주),612391,612391,1208101942
11,11,(주)현대아이티앤이,JE5402,2101505402,5968701200
12,12,(주)현대백화점면세점,HT6164,1803206164,8508800325
13,13,(주)씨엔에스푸드시스템,290695,290695,3048113764
14,14,(주)현대렌탈케어,HC4945,1801304945,8188700076
15,15,(주)현대드림투어,385853,385853,1058690908
16,16,(주)현대미디어,C10341,13010341,2118764212
17,17,한국타워크레인(주),I92078,19092078,3018621519
18,18,(주)현대쇼핑,955035,955035,1118131200
19,19,(주)현대에이앤아이,C38952,13038952,2128183656
20,20,(주)현대리바트엠앤에스,385399,385399,1358183965
21,21,(주)에버다임락툴,J10754,21010754,4028193816
22,22,(주)한섬라이프앤,JJ0720,2102100720,4578701282
23,23,(주)타이포스,F07493,16007493,3128189305
0,0,(주)케이티앤지,001471,1471,3068130866
1,1,영진약품(주),350648,350648,2188100352
2,2,(주)한국인삼공사,165669,165669,3148123992
3,3,(주)코스모코스,597112,597112,1398111288
4,4,태아산업(주),311731,311731,3068100135
5,5,(주)케이지씨예본,H82147,18082147,3038165274
6,6,(주)케이지씨라이프앤진,372659,372659,2118738806
7,7,(주)상상스테이,HK1989,1802201989,5458800200
8,8,(주)과천상상피에프브이,JF9732,2101609732,5638101120
0,0,(주)케이씨씨,500062,500062,2148170045
1,1,(주)케이씨씨글라스,JX9294,2103609294,4018701412
2,2,(주)케이씨씨건설,513644,513644,2148169965
3,3,(주)동주,341460,341460,1348102047
4,4,모멘티브퍼포먼스머티리얼스코리아(주),478370,478370,2208667860
5,5,세우실업(주),763217,763217,3128114667
6,6,(주)금강레저,910783,910783,1268107997
7,7,(주)동주피앤지,492406,492406,5058148702
8,8,대산컴플렉스개발(주),J00148,21000148,3168121419
9,9,미래(주),F16984,16016984,1148680947
10,10,(주)티앤케이정보,C17644,13017644,2208761903
11,11,대호포장(주),007080,7080,1348104308
12,12,(주)동주상사,HU6175,1803306175,4938600507
13,13,(주)실바톤어쿠스틱스,F69335,16069335,1068653662
14,14,주령금속(주),J04165,21004165,1448111164
15,15,코리아오토글라스(주),149589,149589,3078115780
0,0,고려아연(주),370380,370380,2118111260
1,1,(주)코리아써키트,380849,380849,1348107528
2,2,(주)영풍,370274,370274,2118111275
3,3,(주)인터플렉스,781088,781088,1348121874
4,4,영풍정밀(주),388947,388947,2118115683
5,5,시그네틱스(주),383686,383686,1098100780
6,6,영풍전자(주),451754,451754,1348109623
7,7,(주)테라닉스,625507,625507,1348121888
8,8,(주)영풍문고홀딩스,007158,7158,1028130788
9,9,서린상사(주),371530,371530,2118119597
10,10,(주)징크옥사이드코퍼레이션,G61232,17061232,1208749569
11,11,(주)케이지엑스,392090,392090,6108114498
12,12,(주)클린코리아,058231,58231,1258108085
13,13,켐코(주),IM7047,1902407047,5818100551
14,14,코리아니켈(주),023884,23884,2118136261
15,15,(주)알란텀,C42374,13042374,1298624379
16,16,유미개발(주),028088,28088,1068108162
17,17,영풍개발(주),187305,187305,2118147055
18,18,서린정보기술(주),051536,51536,2118613749
19,19,(주)엑스메텍,F12880,16012880,1298636875
20,20,(주)영풍문고,LS2070,2303102070,7738601800
21,21,(주)와이투북스,J29149,21029149,1018666731
22,22,농업회사법인에스피팜랜드(유),HQ6720,1802806720,5628700417
23,23,씨케이(유),I68026,19068026,1348701021
24,24,에스아이앤엘(주),LD2113,2301402113,5278601793
25,25,케이잼(주),LC4812,2301304812,2728101786
26,26,케이지그린텍(주),F14874,16014874,6108601998
0,0,대우조선해양(주),152019,152019,1048157667
1,1,대한조선(주),262595,262595,4178103223
2,2,신한중공업(주),818658,818658,6208103853
3,3,삼우중공업(주),C12927,13012927,4168158517
4,4,디에스엠이정보시스템(주),IM1518,1902401518,4948800498
0,0,팬오션(주),720020,720020,1048119101
1,1,(주)엔에스쇼핑,174048,174048,1178133642
2,2,(주)팜스코,120329,120329,1298130202
3,3,(주)선진,F77924,16077924,1268636352
4,4,(주)하림,F91473,16091473,4038161113
5,5,(주)하림지주,310360,310360,3068103054
6,6,(주)올품,179793,179793,1298127425
7,7,제일사료(주),F60460,16060460,3058608366
8,8,한강씨엠(주),171847,171847,1278161937
9,9,농업회사법인(주)팜스코바이오인티,L49492,23049492,1268674040
10,10,(주)싱그린에프에스,467992,467992,4038128657
11,11,농업회사법인(주)주원산오리,093285,93285,3058153852
12,12,농업회사법인(주)선진한마을,092484,92484,1268136487
13,13,(주)선진에프에스,C13067,13013067,1268185708
14,14,(주)포스에스엠,HJ5420,1802105420,7368800179
15,15,(주)선진햄,159100,159100,1358127696
16,16,한국썸벧(주),IQ9812,1902809812,3888100836
17,17,(주)팜스코푸드,J99446,21099446,3178137928
18,18,(주)하림펫푸드,IP0402,1902700402,2408100698
19,19,(주)애그리로보텍,F18235,16018235,1288640279
20,20,농업회사법인(주)포크랜드,537159,537159,5158124406
21,21,(주)에코캐피탈,F21483,16021483,2118844421
22,22,(주)참트레이딩,H23502,18023502,2118840110
23,23,농업회사법인(주)봉산지피,M18647,24018647,4168199589
24,24,농업회사법인(주)순우리한우,419868,419868,2128153870
25,25,(주)하림산업,E78900,15078900,1298671998
26,26,농업회사법인(주)익산,157936,157936,4038112136
27,27,한국인베스트먼트(주),G71746,17071746,4038160128
28,28,농업회사법인(유)하이포크스마트팜,092506,92506,5158116148
29,29,농업회사법인(유)에이치비씨,I43614,19043614,4038146636
30,30,(주)에버미라클,226111,226111,4028145615
31,31,(주)엔디,C91126,13091126,1078705350
32,32,(주)동림건설,F00316,16000316,4038143532
33,33,(주)에이치에스푸드,HO8118,1802608118,3218600333
34,34,(주)청운농업회사법인,C81855,13081855,2218130089
35,35,(주)하림엠에스,I91511,19091511,2118889578
36,36,(주)선진브릿지랩,C97579,13097579,1268145593
37,37,팜엔코(주),M19047,24019047,1428177966
38,38,(주)경우,283355,283355,2298102781
39,39,(주)맥시칸,294709,294709,5158102678
40,40,푸른조경(주),319228,319228,4088114804
41,41,(주)하림애니멀클리닉,G70016,17070016,4038159505
42,42,농업회사법인(주)봉화,C97560,13097560,1268622218
43,43,(주)글라이드,JQ2406,2102802406,4048701406
44,44,(주)선진팜,HU2924,1803302924,1178800494
45,45,(주)엔바이콘,HQ0658,1802800658,1888100347
46,46,(유)엑셀로이콰인알앤디센터,JU9637,2103309637,6128801417
47,47,(주)디디에프엔비,L78478,23078478,2648134189
48,48,(주)세티,LJ6528,2302106528,4228601969
49,49,(주)엔에스홈쇼핑미디어센터,G19805,17019805,1178165580
50,50,(주)제이에이치제이,LU2020,2303302020,5488601878
51,51,(주)하림유통,G13417,17013417,4038161092
52,52,농업회사법인(주)늘푸른,L47773,23047773,4038176504
53,53,농업회사법인(주)봉화제네틱스,J56966,21056966,5128120599
54,54,농업회사법인(주)비앤피,LT0828,2303200828,1078843216
55,55,농업회사법인피그앤그린(주),F97619,16097619,3058608575
0,0,교보증권(주),860115,860115,1168104407
1,1,교보생명보험(주),870200,870200,1028111097
2,2,(주)교보문고,340944,340944,1028111670
3,3,교보리얼코(주),813192,813192,1028112136
4,4,교보핫트랙스(주),632627,632627,1028129258
5,5,케이씨에이손해사정(주),211777,211777,2068172455
6,6,교보정보통신(주),028185,28185,2098101546
7,7,교보자산신탁(주),968439,968439,1208184768
8,8,교보악사자산운용(주),812960,812960,1168159523
9,9,교보라이프플래닛생명보험(주),J97175,21097175,1078802971
10,10,제일종합관리서비스(주),405263,405263,2068151751
11,11,케이씨에이서비스(주),IB2584,1901202584,1768700574
0,0,(주)카카오,041800,41800,1208147521
1,1,(주)카카오게임즈,J88973,21088973,1448118454
2,2,(주)카카오뱅크,HM8410,1802408410,3758800197
3,3,(주)카카오커머스,JJ4508,2102104508,8918800985
4,4,(주)엑스엘게임즈,391009,391009,1208650905
5,5,(주)카카오모빌리티,IQ0276,1902800276,1728600842
6,6,(주)카카오브이엑스,J35473,21035473,1448103460
7,7,(주)카카오스페이스,HE8796,1801508796,3548600070
8,8,(주)카카오페이지,G69732,17069732,2208802594
9,9,(주)카카오엠,JF7007,2101607007,2048700957
10,10,(주)카카오페이증권,C50360,13050360,2208766698
11,11,(주)스타쉽엔터테인먼트,T44752,32044752,1148665214
12,12,(주)프렌즈게임즈,HC5495,1801305495,5948100052
13,13,(주)레디엔터테인먼트,C03226,13003226,2118756819
14,14,(주)카카오브레인,IN2244,1902502244,2178600621
15,15,(주)스테이지파이브,FO4704,1602604704,7568600029
16,16,(주)비에이치엔터테인먼트,F55851,16055851,1048601455
17,17,(주)숲엔터테인먼트,H54284,18054284,2118858847
18,18,(주)티앤케이팩토리,H65867,18065867,1148689161
19,19,(주)쇼노트,772335,772335,2018193474
20,20,(주)야나두,F18766,16018766,1298623477
21,21,(주)카카오인베스트먼트,IP2361,1902702361,7568100780
22,22,(주)카카오벤처스,H98750,18098750,2208835402
23,23,(주)바람픽쳐스,IN7078,1902507078,8088700711
24,24,(주)케이큐브홀딩스,C15482,13015482,1298604562
25,25,(주)카카오페이,IP1707,1902701707,5278800686
26,26,(주)카카오엔터프라이즈,JT0375,2103200375,7418101531
27,27,(주)케이앤웍스,C68599,13068599,2018190900
28,28,(주)진화,F06160,16006160,2208110038
29,29,(주)엔플루토,C11610,13011610,1298610948
30,30,동고택시(주),146404,146404,1118103591
31,31,(주)하시스,214827,214827,1208608810
32,32,(주)키위플러스,L38745,23038745,1208806591
33,33,(주)키즈노트,I05452,19005452,1088601122
34,34,록앤올(주),G00324,17000324,2208799675
35,35,(주)파괴연구소,JQ7075,2102807075,3648601417
36,36,(주)손노리,L96758,23096758,2618115238
37,37,(주)다온크리에이티브,M03707,24003707,2618116407
38,38,(주)배틀엔터테인먼트,J64777,21064777,2158783263
39,39,(주)어썸이엔티,JD3577,2101403577,1018800989
40,40,(주)케이엠솔루션,JC6749,2101306749,7228700998
41,41,(주)인타임,L08601,23008601,1078806434
42,42,메가몬스터(주),M35489,24035489,1288716378
43,43,(주)에이윈즈,F15354,16015354,1068652678
44,44,(주)툰노리,J88429,21088429,1138674952
45,45,(주)포유키즈,E94066,15094066,1198649859
46,46,그레이고(주),IM7412,1902407412,2218800605
47,47,로고스필름(주),380684,380684,1148604478
48,48,(주)파트너,E82171,15082171,1228626094
49,49,(주)사운디스트엔터테인먼트,HU6636,1803306636,2078800574
50,50,엘케이엠에스리미티드(주),L37675,23037675,1048653157
51,51,(주)사나이픽처스,E92208,15092208,2068661782
52,52,(주)영화사월광,I02052,19002052,2118876393
53,53,(주)다음글로벌홀딩스,C16165,13016165,2148818091
54,54,(주)라이프엠엠오,JM7672,2102407672,5338801225
55,55,(주)레프트라이트,HP0023,1802700023,7568100422
56,56,(주)모빌,JC3860,2101303860,7418601123
57,57,(주)브이에이에스티,HL7584,1802307584,6188700248
58,58,(주)씨엠엔피,JQ6560,2102806560,3908601401
59,59,(주)케이엠식스,JT7227,2103207227,8428101775
60,60,(주)케이엠쓰리,JT7226,2103207226,8028101549
61,61,(주)케이엠원,JS2027,2103102027,3548801525
62,62,(주)케이엠투,JS2030,2103102030,5648601583
63,63,(주)케이엠파이브,JT7229,2103207229,5318101439
64,64,(주)케이엠포,JT7667,2103207667,5208601583
65,65,(주)플러스투퍼센트,L95583,23095583,1448128103
66,66,(주)그라운드원,JA8776,2101108776,3568800968
67,67,(주)글앤그림미디어,IM3022,1902403022,6278700669
68,68,(주)네오바자르,CD0750,1301400750,1448135088
69,69,(주)뉴런잉글리쉬,E93835,15093835,2158762176
70,70,(주)디케이테크인,HH9152,1801809152,6068700134
71,71,(주)링키지랩,HN6287,1802506287,2358800278
72,72,(주)메종드바하,M15863,24015863,1428178820
73,73,(주)삼양씨앤씨,IX0789,1903600789,8318801041
74,74,(주)슈퍼코믹스스튜디오,JL4930,2102304930,7568701229
75,75,(주)스테이지에셋,LA5529,2301105529,7788701665
76,76,(주)아산카카오메디컬데이터,JK6080,2102206080,3108133256
77,77,(주)아씨오,HO9112,1802609112,1508700359
78,78,(주)알에스미디어,L90053,23090053,1308693819
79,79,(주)애드페이지,JW5910,2103505910,6138801365
80,80,(주)엔글,HI2797,1801902797,3948600200
81,81,(주)오닉스케이,H60732,18060732,2208818529
82,82,(주)유캠프,JY1578,2103701578,2078701498
83,83,(주)이담엔터테인먼트,JW9628,2103509628,7798701692
84,84,(주)이앤티스토리엔터테인먼트,IX6362,1903606362,4558800945
85,85,(주)제이와이드컴퍼니,E93150,15093150,1208777158
86,86,(주)케이벤처그룹,IQ3799,1902803799,3118800795
87,87,(주)케이엠세븐,JV3512,2103403512,5758801442
88,88,(주)크래커엔터테인먼트,HP8641,1802708641,4068163838
89,89,(주)티제이파트너스,JQ7426,2102807426,3598601303
90,90,(주)티포인베스트,G24756,17024756,2118830169
91,91,(주)플레이엠엔터테인먼트,G46209,17046209,2118853987
92,92,(주)플렉스엠,JW5494,2103505494,4518101846
93,93,(주)픽셀허브,L56584,23056584,1448123054
94,94,(주)필연매니지먼트,JG0642,2101700642,7598601070
95,95,(주)하이라인엔터테인먼트,IV3578,1903403578,2908700851
96,96,비미디어컴퍼니(주),JY0491,2103700491,4558601601
97,97,엘케이엠에스리보험중개(주),HK1978,1802201978,4708800279
98,98,인바이유(주),IX1018,1903601018,6038800976
99,99,케이큐브임팩트(주),LT4731,2303204731,2728801728
100,100,(주)파킹스퀘어,J17416,21017416,1048648372
101,101,(주)골프앤데이타시스템,C69089,13069089,1058727606
102,102,(유)매디슨카운티의다리,HV8949,1803408949,5068192609
103,103,(주)골프와친구,F83788,16083788,1298621106
0,0,한국투자금융지주(주),097600,97600,2148726478
1,1,한국투자증권(주),091255,91255,1168104504
2,2,(주)한국투자저축은행,880728,880728,4178101720
3,3,한국투자신탁운용(주),137885,137885,1078185653
4,4,한국투자파트너스(주),820849,820849,1168115980
5,5,한국투자캐피탈(주),M30080,24030080,1078833339
6,6,한국투자밸류자산운용(주),388938,388938,1078674734
7,7,(주)그린환경기술,133446,133446,1328130703
8,8,한국투자프라이빗에쿼티(주),G54063,17054063,1078742845
9,9,(주)이메디원,C88415,13088415,4088176794
10,10,도시환경(주),285163,285163,1278178632
11,11,(주)케이아이피오르비텍홀딩스,LX0676,2303600676,3148801997
12,12,에스케이에스한국투자제1호사모투자(자),LV2001,2303402001,3298601715
13,13,우리성장파트너십신기술사모투자전문회사(자),HC6953,1801306953,2428100073
14,14,이큐그린제이차(유),JD5196,2101405196,7108701238
15,15,이큐파트너스그린사모투자(자),IX2953,1903602953,6538101059
16,16,이큐파트너스제1호글로벌사모투자전문회사,H42297,18042297,2208813863
17,17,이큐파트너스제1호환경서비스사모투자(자),IO9352,1902609352,2098600635
18,18,이큐피포스코글로벌제1호해외자원개발사모투자전문회사,I88626,19088626,2208852487
19,19,케이아이피그로쓰(유),IR5802,1902905802,8948700750
20,20,프라이싱사모투자(자),JS6263,2103106263,2718601395
21,21,한국투자글로벌제약산업육성사모투자전문회사,CC0667,1301300667,1208823514
22,22,한국투자부동산신탁(주),JP6575,2102706575,2338601262
23,23,한국투자성장소부장사모투자(자),LG8996,2301708996,5078115736
24,24,한국투자혁신성장스케일업사모투자(자),LE2951,2301502951,7298101623
0,0,에이치디씨현대산업개발(주),JC3042,2101303042,3348600815
1,1,에이치디씨현대이피(주),133416,133416,3118113651
2,2,에이치디씨아이콘트롤스(주),119266,119266,1208193646
3,3,에이치디씨(주),500526,500526,1148158853
4,4,에이치디씨영창(주),390046,390046,1378100558
5,5,에이치디씨아이서비스(주),273880,273880,1148171782
6,6,호텔에이치디씨(주),372796,372796,1208679275
7,7,에이치디씨리조트(주),769568,769568,2248106308
8,8,에이치디씨아이파크몰(주),197239,197239,1208185957
9,9,에이치디씨아이앤콘스(주),129414,129414,1208600273
10,10,부동산일일사(주),142143,142143,2118653421
11,11,에이치디씨자산운용(주),145627,145627,2118661178
12,12,서울-춘천고속도로(주),370009,370009,2218122181
13,13,부산컨테이너터미널(주),I81274,19081274,1208792066
14,14,북항아이브리지(주),390953,390953,6058178302
15,15,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,IS3504,1903103504,6678600734
16,16,미래비아이(주),C12029,13012029,1298603184
17,17,통영에코파워(주),J21262,21021262,6128144421
18,18,에이치디씨현대피씨이(주),L76690,23076690,1268676524
19,19,에이치디씨스포츠(주),372694,372694,6078163616
20,20,아이파크마리나(주),L74041,23074041,6178617507
21,21,(주)광명문화복합단지자산관리,LC5203,2301305203,-
22,22,시흥서울연결도로(주),JW5301,2103505301,1088801499
23,23,엠엔큐투자파트너스(유),IV2588,1903402588,8768100901
24,24,인천신항배후단지(주),JX6420,2103606420,1178193373
25,25,아이시어스(주),H36266,18036266,1208770024
0,0,코오롱인더스트리(주),F03302,16003302,1388156604
1,1,코오롱글로벌(주),500461,500461,1208150012
2,2,코오롱플라스틱(주),825841,825841,5108105710
3,3,코오롱머티리얼(주),C04456,13004456,1388144919
4,4,(주)코오롱,320234,320234,2028144660
5,5,코오롱생명과학(주),146681,146681,1048152769
6,6,코오롱엘에스아이(주),HL1995,1802301995,1458700304
7,7,코오롱글로텍(주),325732,325732,2028144675
8,8,코오롱베니트(주),124312,124312,1238151422
9,9,코오롱제약(주),351776,351776,2148113189
10,10,코오롱데크컴퍼지트(주),090616,90616,1358150111
11,11,코오롱아우토(주),160146,160146,1268149212
12,12,그린나래(주),388096,388096,3128180930
